,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
0,02/07/2022,0,0,170899.0,2194828.0,1699689.0,1893947.0,0.0,0.0,0.0,0.0,0
1,02/08/2022,0,0,171966.01960784313,2199469.6666666665,1702181.4705882352,1895710.6666666667,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
2,02/09/2022,0,0,173033.03921568627,2204111.3333333335,1704673.9411764706,1897474.3333333333,1763.6666666665114,2492.4705882354174,4641.666666666977,1067.0196078431327,0
3,02/10/2022,0,0,174100.0588235294,2208753.0,1707166.4117647058,1899238.0,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
4,02/11/2022,0,0,175167.07843137256,2213394.6666666665,1709658.8823529412,1901001.6666666667,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431618,0
5,02/12/2022,0,0,176234.0980392157,2218036.3333333335,1712151.3529411764,1902765.3333333333,1763.6666666665114,2492.4705882351846,4641.666666666977,1067.0196078431327,0
6,02/13/2022,0,0,177301.11764705883,2222678.0,1714643.8235294118,1904529.0,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431327,0
7,02/14/2022,0,0,178368.13725490196,2227319.6666666665,1717136.294117647,1906292.6666666667,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
8,02/15/2022,0,0,179435.1568627451,2231961.3333333335,1719628.7647058824,1908056.3333333333,1763.6666666665114,2492.4705882354174,4641.666666666977,1067.0196078431327,0
9,02/16/2022,0,0,180502.17647058822,2236603.0,1722121.2352941176,1909820.0,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
10,02/17/2022,0,0,181569.19607843139,2241244.6666666665,1724613.705882353,1911583.6666666667,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431618,0
11,02/18/2022,0,0,182636.21568627452,2245886.3333333335,1727106.1764705882,1913347.3333333333,1763.6666666665114,2492.4705882351846,4641.666666666977,1067.0196078431327,0
12,02/19/2022,0,0,183703.23529411765,2250528.0,1729598.6470588236,1915111.0,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431327,0
13,02/20/2022,0,0,184770.25490196078,2255169.6666666665,1732091.1176470588,1916874.6666666667,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
14,02/21/2022,0,0,185837.27450980392,2259811.3333333335,1734583.5882352942,1918638.3333333333,1763.6666666665114,2492.4705882354174,4641.666666666977,1067.0196078431327,0
15,02/22/2022,0,0,186904.29411764705,2264453.0,1737076.0588235294,1920402.0,1763.6666666667443,2492.4705882351846,4641.666666666511,1067.0196078431327,0
16,02/23/2022,0,0,187971.31372549018,2269094.6666666665,1739568.5294117648,1922165.6666666667,1763.6666666667443,2492.4705882354174,4641.666666666511,1067.0196078431327,0
