,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
0,02/07/2022,0,0,2598195.0,31057500.0,24814812.0,31519836.0,0.0,0.0,0.0,0.0,0
1,02/08/2022,0,0,2614800.6078431373,31126940.156862747,24850344.960784312,31544941.666666668,25105.66666666791,35532.96078431234,69440.15686274692,16605.607843137346,0
2,02/09/2022,0,0,2631406.2156862747,31196380.31372549,24885877.92156863,31570047.333333332,25105.666666664183,35532.96078431606,69440.1568627432,16605.607843137346,0
3,02/10/2022,0,0,2648011.8235294116,31265820.470588237,24921410.88235294,31595153.0,25105.66666666791,35532.96078431234,69440.15686274692,16605.60784313688,0
4,02/11/2022,0,0,2664617.431372549,31335260.62745098,24956943.843137253,31620258.666666668,25105.66666666791,35532.96078431234,69440.1568627432,16605.607843137346,0
5,02/12/2022,0,0,2681223.0392156863,31404700.784313727,24992476.80392157,31645364.333333332,25105.666666664183,35532.96078431606,69440.15686274692,16605.607843137346,0
6,02/13/2022,0,0,2697828.6470588236,31474140.94117647,25028009.76470588,31670470.0,25105.66666666791,35532.96078431234,69440.1568627432,16605.607843137346,0
7,02/14/2022,0,0,2714434.254901961,31543581.098039217,25063542.725490198,31695575.666666668,25105.66666666791,35532.96078431606,69440.15686274692,16605.607843137346,0
8,02/15/2022,0,0,2731039.862745098,31613021.25490196,25099075.68627451,31720681.333333332,25105.666666664183,35532.96078431234,69440.1568627432,16605.60784313688,0
9,02/16/2022,0,0,2747645.470588235,31682461.411764707,25134608.647058822,31745787.0,25105.66666666791,35532.96078431234,69440.15686274692,16605.607843137346,0
10,02/17/2022,0,0,2764251.0784313725,31751901.56862745,25170141.60784314,31770892.666666668,25105.66666666791,35532.96078431606,69440.1568627432,16605.607843137346,0
11,02/18/2022,0,0,2780856.68627451,31821341.725490198,25205674.56862745,31795998.333333332,25105.666666664183,35532.96078431234,69440.15686274692,16605.607843137346,0
12,02/19/2022,0,0,2797462.294117647,31890781.88235294,25241207.529411763,31821104.0,25105.66666666791,35532.96078431234,69440.1568627432,16605.607843137346,0
13,02/20/2022,0,0,2814067.901960784,31960222.039215688,25276740.49019608,31846209.666666668,25105.66666666791,35532.96078431606,69440.15686274692,16605.60784313688,0
14,02/21/2022,0,0,2830673.5098039214,32029662.19607843,25312273.45098039,31871315.333333332,25105.666666664183,35532.96078431234,69440.1568627432,16605.607843137346,0
